IDpassageiro,Nome,Deck,NumeroCabine,PosicaoCabine,Procedencia,Destino,Idade,VIP,AllInclusive,ServicoCabine,Restaurante,Shopping,SPA,ParquedeAguas,Sobrevivente
5647_02,Chabih Matoltuble,C,178,P,America,Monaco,52.0,0,0,0.0,1425.0,31.0,0.0,1320.0,1
0107_01,Coobix Hart,D,2,S,Africa,Grecia,21.0,0,0,1743.0,5.0,17.0,0.0,0.0,0
4158_01,Doryn Noeley,E,273,S,Europa,Grecia,27.0,0,0,0.0,0.0,580.0,211.0,0.0,0
1316_01,Sadrus Quelfly,E,95,S,America,Grecia,28.0,0,1,0.0,0.0,0.0,0.0,0.0,1
9069_05,Mirfark Taketiatim,B,297,P,America,Monaco,29.0,0,0,0.0,12563.0,0.0,3.0,5057.0,0
6756_02,Monah Pittson,G,1095,P,Europa,Malta,46.0,0,0,0.0,0.0,743.0,4.0,6.0,1
8056_02,Marrai Ausivetpul,C,262,P,America,Grecia,28.0,0,0,40.0,9012.0,0.0,111.0,551.0,1
2993_01,Nelly Gordanieves,F,571,S,Europa,Grecia,24.0,0,0,1252.0,6.0,0.0,123.0,706.0,0
4564_01,Tera Merkins,G,745,P,Europa,Grecia,30.0,0,0,0.0,43.0,0.0,0.0,6.0,0
0600_01,Muonon Ormler,C,23,S,America,Grecia,24.0,0,0,0.0,3385.0,826.0,9.0,793.0,1
4558_01,Wezna Baleful,C,167,S,America,Monaco,54.0,0,0,0.0,559.0,0.0,15238.0,2799.0,0
1154_01,Celeb Ingascomet,B,43,P,America,Grecia,25.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5763_02,Erick Alentonway,F,1099,S,Europa,Grecia,24.0,0,0,0.0,0.0,0.0,838.0,193.0,0
6399_01,Dord Serry,G,1031,P,Europa,Grecia,47.0,0,0,0.0,106.0,2915.0,0.0,1200.0,0
5785_01,Dwin Mcgoway,F,1104,S,Europa,Malta,34.0,0,0,571.0,0.0,0.0,0.0,0.0,0
8511_01,Craine Moreman,G,1365,S,Europa,Malta,51.0,0,0,590.0,28.0,73.0,0.0,82.0,0
3810_01,Tera Trankliney,G,624,S,Europa,Grecia,51.0,0,0,406.0,0.0,53.0,0.0,350.0,0
2361_02,Megany Belley,F,481,P,Europa,Outros,29.0,0,0,0.0,0.0,792.0,0.0,0.0,1
4704_01,Grafi Grentual,D,156,P,America,Monaco,30.0,0,0,818.0,44.0,2.0,2956.0,2311.0,0
0122_01,Shelle Hayder,G,21,S,Europa,Grecia,29.0,0,0,0.0,0.0,0.0,699.0,74.0,0
6376_01,Cird Barte,F,1217,S,Africa,Monaco,26.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5278_01,Menkin Subateful,B,203,S,America,Monaco,37.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1670_01,Aleen Sancasey,G,269,P,Europa,Grecia,49.0,0,0,0.0,67.0,213.0,2.0,1442.0,0
6645_01,Lanedy Scotterkins,G,1083,S,Europa,Monaco,17.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1178_01,Walla Summington,F,224,S,Europa,Grecia,20.0,0,0,0.0,0.0,600.0,0.0,0.0,0
0164_01,Fany Hutchinton,G,28,S,Europa,Grecia,57.0,0,0,50.0,1688.0,0.0,0.0,135.0,1
7091_01,Cassa Garrincent,G,1142,P,Europa,Grecia,32.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3070_01,Bel Haydenez,G,501,P,Europa,Grecia,41.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8923_01,Lilley Fuentryoung,G,1450,P,Europa,Grecia,19.0,0,0,0.0,0.0,0.0,0.0,0.0,1
7442_01,Antony Morrencis,E,495,S,Europa,Grecia,43.0,0,0,20.0,0.0,726.0,0.0,0.0,0
7937_02,Sarino Skessid,D,229,S,America,Monaco,30.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2876_01,Andyn Brenney,G,456,S,Europa,Grecia,42.0,0,0,173.0,656.0,0.0,0.0,23.0,0
9034_02,Errairk Crakete,D,288,P,America,Grecia,43.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2234_05,Burs Flité,D,66,P,Africa,Grecia,31.0,0,0,21.0,0.0,1031.0,0.0,0.0,0
2788_01,Harlos Ramoran,G,449,P,Europa,Malta,27.0,0,1,0.0,0.0,0.0,0.0,0.0,0
4249_01,Nusoton Inghting,B,166,S,America,Grecia,58.0,0,0,0.0,2946.0,0.0,101.0,387.0,1
2768_03,Doryn Cartz,G,442,S,Europa,Grecia,3.0,0,1,0.0,0.0,0.0,0.0,0.0,0
0789_03,Zaninon Frolestty,A,8,S,America,Grecia,26.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5362_01,Meratz Prearright,E,336,P,America,Monaco,35.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2477_02,Hasich Suptibler,C,86,P,America,Monaco,50.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0202_01,Pomera Embleng,B,9,P,America,Monaco,45.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0437_02,Debora Oneiles,F,78,S,Europa,Malta,40.0,0,0,7.0,0.0,840.0,26.0,0.0,0
5909_03,Holey Fryan,G,961,S,Europa,Monaco,2.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6778_01,Brada Fielson,F,1299,S,Europa,Grecia,47.0,0,0,0.0,758.0,0.0,0.0,1417.0,0
0983_01,Teremy Wiggs,G,149,S,Europa,Monaco,34.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5587_01,Dianie Deckerson,F,1159,P,Europa,Monaco,22.0,0,0,654.0,2.0,83.0,0.0,0.0,0
1488_01,Powhex Betie,E,94,P,Africa,Grecia,42.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3301_04,Lulah Domington,G,525,S,Europa,Grecia,20.0,0,0,0.0,0.0,0.0,0.0,0.0,1
1404_01,Alaton Mornaned,B,60,S,America,Grecia,47.0,0,0,1.0,734.0,28.0,78.0,3471.0,0
5410_01,Sweal Frasp,D,163,S,Africa,Grecia,33.0,0,0,748.0,130.0,1047.0,458.0,0.0,0
5350_01,Atinon Foraud,C,170,P,America,Grecia,35.0,0,0,25.0,866.0,0.0,3198.0,459.0,0
6066_01,Altan Mallisly,C,226,S,America,Grecia,33.0,0,0,0.0,357.0,2366.0,1612.0,2137.0,0
5915_01,Garion Mcneiley,E,382,S,Europa,Grecia,32.0,0,0,0.0,0.0,39.0,0.0,749.0,0
5451_01,Adrie Rodger,F,1127,P,Outros,Malta,21.0,0,0,0.0,697.0,0.0,0.0,0.0,1
4401_02,Eriana Loverthyo,G,716,S,Europa,Malta,18.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8383_03,Garry Gibbsonton,G,1368,P,Europa,Grecia,3.0,0,0,0.0,0.0,0.0,0.0,0.0,1
2234_03,Apench Flité,E,134,P,Africa,Grecia,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0
4107_01,Bobbyn Rocholton,G,676,S,Europa,Grecia,23.0,0,0,0.0,0.0,489.0,5.0,276.0,0
7411_01,Racy Bakericks,F,1533,P,Europa,Grecia,30.0,0,0,1110.0,0.0,439.0,5.0,0.0,0
4486_01,Janne Mccarry,G,733,S,Europa,Grecia,26.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7924_01,Ninaha Mondalley,F,1642,P,Europa,Grecia,28.0,0,0,589.0,57.0,0.0,0.0,0.0,0
9119_01,Grette Miltongson,G,1483,P,Europa,Grecia,16.0,0,1,0.0,0.0,0.0,0.0,0.0,0
5197_01,Rician Fowlaney,E,325,P,Europa,Outros,20.0,0,0,0.0,4.0,761.0,22.0,1.0,1
4515_01,Lynnie Fryersonis,G,739,P,Europa,Grecia,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0
2990_01,Gileen Vandez,G,472,S,Europa,Malta,24.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4720_01,Maya Lardy,F,887,S,Europa,Grecia,21.0,0,0,0.0,681.0,51.0,131.0,1.0,1
